query_id,split,query_type,query,source_doc_id,source_headline,script_aware_rank,headline_rank,situation,known_item_label,top5_script_aware_headlines
QTRN_010,internal_val,urdu,جنوبی افریقہ کی نیوزی لینڈ کو سیریز میں,30141,جنوبی افریقہ کی نیوزی لینڈ کو سیریز میں شکست,9,1,entity_collision+topical_neighbour,TOPICALLY_RELEVANT_NEIGHBOUR,other SA-NZ cricket tests/ODIs (not source)
QTRN_031,internal_val,roman_urdu,pakistan orld asnokr chimpin shp ke fainl mein phnch gaya,93764,پاکستان ورلڈ اسنوکر چیمپئن شپ کے فائنل میں پہنچ گیا,9,999,topical_neighbour,TOPICALLY_RELEVANT_NEIGHBOUR,other Pakistan world snooker championship reports (semi-final / other players)
QTRN_099,internal_val,mixed,ویمن کرکٹ میچ پاکستان Pakistan news update,42982,ویمن کرکٹ میچ پاکستان نے ویسٹ انڈیز کو شکست دیدی,9,999,generic_query+topical_neighbour,TOPICALLY_RELEVANT_NEIGHBOUR,other Pakistan women's cricket articles
QTRN_108,internal_val,mixed,عالمی نمبر ایک ٹیم Pakistan news update,87824,عالمی نمبر ایک ٹیم پاکستان کو ائی سی سی ٹیسٹ میس ملے گی,999,999,generic_query+entity_collision,TOPICALLY_RELEVANT_NEIGHBOUR,India/Pakistan number-one ranking stories in other formats
QTRN_168,dev,urdu,کاروباری ہفتے کا تیسرا روز پاکستان اسٹاک مارکیٹ پوائنٹس کی کیسے ہوا,63522,کاروباری ہفتے کا تیسرا روز پاکستان اسٹاک مارکیٹ پوائنٹس کی کمی کے بعد بند,7,1,temporal_confusion+topical_neighbour,TOPICALLY_RELEVANT_NEIGHBOUR,same PSX third-day template with different point deltas
QTRN_170,dev,urdu,پاکستان نے ویسٹ انڈیز کو دوسرے ٹی ٹوئنٹی کے اثرات کیا ہیں,84418,پاکستان نے ویسٹ انڈیز کو دوسرے ٹی ٹوئنٹی میں شکست دے کر سیریز نام کرلی,37,4,entity_collision+topical_neighbour,TOPICALLY_RELEVANT_NEIGHBOUR,other PAK vs WI T20 toss/result reports
QTRN_189,dev,mixed,ئی سی سی کا Pakistan news update,26594,ئی سی سی کا کرپشن کی روک تھام کیلئے انٹرپول کے ساتھ کام کرنے کا فیصلہ,999,999,generic_query,PARTIALLY_RELATED,other ICC chair/committee stories; not interpol
QTRN_216,internal_val,mixed,ایس ای سی پی Pakistan news update,2824,ایس ای سی پی میں ایک ماہ میں کمپنیوں کی ریکارڈرجسٹریشن,999,999,entity_collision+generic_query,TOPICALLY_RELEVANT_NEIGHBOUR,other SECP regulatory articles
QTRN_225,dev,mixed,سائنس فکشن ایکشن فلم Pakistan news update,104334,سائنس فکشن ایکشن فلم انٹ مینکا نیا ٹیزر جاری کردیا گیا,999,999,generic_query+lexical_mismatch,PARTIALLY_RELATED,Alien/Transformers/other sci-fi teasers; Ant-Man name absent from query
QTRN_258,internal_val,urdu,سندھ بھر میں سی این جی اسٹیشنز صبح بجے کھل کیسے ہوا,75838,سندھ بھر میں سی این جی اسٹیشنز صبح بجے کھل جائیں گے,23,7,source_ambiguity+topical_neighbour,AMBIGUOUS,near-duplicate Sindh CNG-station opening wires
